index,expected,solver,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,url
46,sat,minisat,error,0,1,1000.09,999.90,0.10,44840,0,http://benchmark-database.de/file/f33a6163305d6559043b7438a692dea9
47,unsat,minisat,error,0,1,1000.17,999.48,0.51,1573040,0,http://benchmark-database.de/file/f6a085f3c728e53f57542e62df20e56b
48,sat,minisat,error,0,1,1000.24,999.37,0.61,2118468,0,http://benchmark-database.de/file/fae6cf26f3da1e7d8fc4926a9ca86b61
49,unsat,minisat,error,0,1,1000.08,999.85,0.12,46624,0,http://benchmark-database.de/file/fea0f926e766ccba7c7dc261084ecbd0
0,sat,ver3,timeout,0,1,1010.19,1006.94,3.12,10005740,124,http://benchmark-database.de/file/00fd8ac9acd186a7a78a2c4d92f90de1
1,unsat,ver3,error,0,1,1001.23,1000.36,0.61,880204,0,http://benchmark-database.de/file/0205e2dffaef93a90c239df31755f2e1
2,unsat,ver3,error,0,1,1003.44,1002.82,0.50,836796,0,http://benchmark-database.de/file/0aa22564d00e9716519918d84b25c4a7
3,sat,ver3,error,0,1,1004.41,1002.38,1.86,2938856,0,http://benchmark-database.de/file/0c0430a68f147be18ab3fded07f30fdb
4,unsat,ver3,error,0,1,1001.11,1000.78,0.15,91632,0,http://benchmark-database.de/file/16ff47a05b769ed6a04c7175cfc6da55
5,sat,ver3,error,0,1,1003.97,1002.23,1.57,2716460,0,http://benchmark-database.de/file/1753a71fefceb0250a75e67b610050a0
6,unsat,ver3,error,0,1,1000.77,1000.44,0.20,220808,0,http://benchmark-database.de/file/1c30806c5aa9cd54bf823c20fa078243
7,sat,ver3,error,0,1,1000.78,1000.45,0.15,65680,0,http://benchmark-database.de/file/22df1827e3253fc824cc7ce806d75e0a
8,unsat,ver3,error,0,1,1000.82,1000.17,0.43,886920,0,http://benchmark-database.de/file/27cb3a6ca772613c5998d7f78a55ba45
9,sat,ver3,error,0,1,1000.74,1000.48,0.15,70648,0,http://benchmark-database.de/file/2d0c041c0fe72dc32527bfbf34f63e61
10,unsat,ver3,unsat,1,1,115.62,115.35,0.19,138464,20,http://benchmark-database.de/file/3197b65ef50328394a0c9e73281d7122
11,sat,ver3,error,0,1,1001.30,1001.03,0.14,68012,0,http://benchmark-database.de/file/3bfa92996634d2ddc6c0568bba9a0f99
12,unsat,ver3,error,0,1,1000.85,1000.36,0.37,341164,0,http://benchmark-database.de/file/3c129545f090ef08b6ef89a2903ff83e
13,sat,ver3,error,0,1,1000.58,1000.19,0.16,127752,0,http://benchmark-database.de/file/465795fa2641c616ce76de8501672a19
14,unsat,ver3,unsat,1,1,88.27,88.11,0.16,166788,20,http://benchmark-database.de/file/47f5872181a581dff34eb33123fe3242
15,sat,ver3,error,0,1,1007.40,1005.12,2.16,6161968,0,http://benchmark-database.de/file/4d6e18e506b7e62d3f32cc775219be24
16,unsat,ver3,error,0,1,1000.82,1000.33,0.33,351876,0,http://benchmark-database.de/file/5314fd6ccb53b6f6af49a594ea68a273
17,sat,ver3,error,0,1,1001.74,1001.49,0.14,81556,0,http://benchmark-database.de/file/59fc779feee4390b57502814d424e0d6
18,unsat,ver3,unsat,1,1,1.16,1.10,0.07,17988,20,http://benchmark-database.de/file/5c24cfeff639fefdead9a5641f65fa22
19,sat,ver3,error,0,1,1007.43,1005.11,2.10,6478616,0,http://benchmark-database.de/file/6415a71364351c0a521fdee510bc2589
20,unsat,ver3,error,0,1,1000.94,1000.48,0.29,578956,0,http://benchmark-database.de/file/65f7145996bbec02b90bd0fa64a20502
21,sat,ver3,sat,1,1,0.10,0.04,0.07,18044,10,http://benchmark-database.de/file/69f6dd335626a9b71bfc6f2332f52b9d
22,unsat,ver3,error,0,1,1000.98,1000.65,0.17,73416,0,http://benchmark-database.de/file/6fab31665147f538da92dc16c3a239ad
23,sat,ver3,error,0,1,1006.65,1004.50,2.05,5973420,0,http://benchmark-database.de/file/753757e87d34bd1075c413d801bf99b8
24,unsat,ver3,error,0,1,1000.71,1000.19,0.39,273752,0,http://benchmark-database.de/file/7bdf3e5401cc263951003b569bcd689c
25,sat,ver3,error,0,1,1000.90,1000.19,0.43,490660,0,http://benchmark-database.de/file/7e58b502cc9dbef5f76d5161fb9a09b2
26,sat,ver3,sat,1,1,279.99,279.53,0.41,873144,10,http://benchmark-database.de/file/88849daabda2e712f659c6edbc142229
27,unsat,ver3,error,0,1,1000.37,1000.11,0.17,115584,0,http://benchmark-database.de/file/8b267f95678c90b2179944de7233b090
28,sat,ver3,sat,1,1,32.24,32.06,0.10,44488,10,http://benchmark-database.de/file/931621d9964e9d0cd1c4001822015c92
29,unsat,ver3,unsat,1,1,119.25,119.15,0.10,29400,20,http://benchmark-database.de/file/965bc4f6691b2e5f7388aaa9ba68f768
30,unsat,ver3,error,0,1,1000.71,1000.50,0.12,66740,0,http://benchmark-database.de/file/99718c1729a8de3347a9946f1836421d
31,sat,ver3,sat,1,1,364.67,364.47,0.12,68696,10,http://benchmark-database.de/file/9b998be0c639d06988c4902eb125c0b7
32,unsat,ver3,unsat,1,1,240.85,240.74,0.08,121264,20,http://benchmark-database.de/file/a1fdd60d2570f47fb14956ac9e96951f
33,sat,ver3,error,0,1,1001.02,1000.61,0.27,437284,0,http://benchmark-database.de/file/a2ca167a8fdbf165f40b5d6dee94b040
34,unsat,ver3,error,0,1,1002.54,1001.64,0.66,2219668,0,http://benchmark-database.de/file/ad69e0a0880cd377e26260f7e4bc6d51
35,sat,ver3,error,0,1,1000.77,1000.50,0.15,139016,0,http://benchmark-database.de/file/b3d3680b3287a989ce61a6db1054efd2
36,sat,ver3,error,0,1,1000.72,1000.42,0.18,110596,0,http://benchmark-database.de/file/c0074020a48535e6062421cea2850dd0
37,unsat,ver3,error,0,1,1002.29,1001.85,0.21,115968,0,http://benchmark-database.de/file/c0e828fb967fc4f0935cf06c6a6b1055
38,sat,ver3,error,0,1,1001.16,1000.89,0.15,68160,0,http://benchmark-database.de/file/ca3c65a863526793968fc30618a42709
39,sat,ver3,sat,1,1,237.98,237.51,0.40,743028,10,http://benchmark-database.de/file/d2af3fde615d7c4d4a4574fc8839970e
40,unsat,ver3,error,0,1,1001.29,1000.64,0.45,817120,0,http://benchmark-database.de/file/d3e4e0f01836bb359725c6aa5072afce
41,unsat,ver3,error,0,1,1000.93,1000.30,0.45,932832,0,http://benchmark-database.de/file/d88a8a62342be0ef04bd3b429f311352
