index,expected,solver,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,hash,url
23,sat,ver5,timeout,0,1,1010.03,1006.05,2.17,6259692,124,753757e87d34bd1075c413d801bf99b8,https://benchmark-database.de/file/753757e87d34bd1075c413d801bf99b8?context=cnf
24,unsat,ver5,timeout,0,1,1000.44,1000.13,0.22,170332,0,7bdf3e5401cc263951003b569bcd689c,https://benchmark-database.de/file/7bdf3e5401cc263951003b569bcd689c?context=cnf
25,sat,ver5,timeout,0,1,1001.21,1000.59,0.37,378076,0,7e58b502cc9dbef5f76d5161fb9a09b2,https://benchmark-database.de/file/7e58b502cc9dbef5f76d5161fb9a09b2?context=cnf
26,sat,ver5,sat,1,1,208.85,208.41,0.42,906488,10,88849daabda2e712f659c6edbc142229,https://benchmark-database.de/file/88849daabda2e712f659c6edbc142229?context=cnf
27,unsat,ver5,timeout,0,1,1000.64,1000.24,0.20,130284,0,8b267f95678c90b2179944de7233b090,https://benchmark-database.de/file/8b267f95678c90b2179944de7233b090?context=cnf
28,sat,ver5,sat,1,1,158.53,158.40,0.11,56508,10,931621d9964e9d0cd1c4001822015c92,https://benchmark-database.de/file/931621d9964e9d0cd1c4001822015c92?context=cnf
29,unsat,ver5,unsat,1,1,27.17,27.04,0.09,18644,20,965bc4f6691b2e5f7388aaa9ba68f768,https://benchmark-database.de/file/965bc4f6691b2e5f7388aaa9ba68f768?context=cnf
30,unsat,ver5,timeout,0,1,1000.37,1000.12,0.14,72204,0,99718c1729a8de3347a9946f1836421d,https://benchmark-database.de/file/99718c1729a8de3347a9946f1836421d?context=cnf
31,sat,ver5,sat,1,1,123.81,123.66,0.07,42784,10,9b998be0c639d06988c4902eb125c0b7,https://benchmark-database.de/file/9b998be0c639d06988c4902eb125c0b7?context=cnf
32,unsat,ver5,unsat,1,1,54.83,54.74,0.09,111696,20,a1fdd60d2570f47fb14956ac9e96951f,https://benchmark-database.de/file/a1fdd60d2570f47fb14956ac9e96951f?context=cnf
33,sat,ver5,timeout,0,1,1000.62,1000.18,0.27,383824,0,a2ca167a8fdbf165f40b5d6dee94b040,https://benchmark-database.de/file/a2ca167a8fdbf165f40b5d6dee94b040?context=cnf
34,unsat,ver5,timeout,0,1,1004.25,1003.34,0.78,2333560,0,ad69e0a0880cd377e26260f7e4bc6d51,https://benchmark-database.de/file/ad69e0a0880cd377e26260f7e4bc6d51?context=cnf
35,sat,ver5,sat,1,1,670.14,669.82,0.17,99336,10,b3d3680b3287a989ce61a6db1054efd2,https://benchmark-database.de/file/b3d3680b3287a989ce61a6db1054efd2?context=cnf
36,sat,ver5,timeout,0,1,1000.56,1000.29,0.17,120196,0,c0074020a48535e6062421cea2850dd0,https://benchmark-database.de/file/c0074020a48535e6062421cea2850dd0?context=cnf
37,unsat,ver5,timeout,0,1,1001.18,1000.88,0.15,63632,0,c0e828fb967fc4f0935cf06c6a6b1055,https://benchmark-database.de/file/c0e828fb967fc4f0935cf06c6a6b1055?context=cnf
38,sat,ver5,sat,1,1,127.06,126.95,0.11,32412,10,ca3c65a863526793968fc30618a42709,https://benchmark-database.de/file/ca3c65a863526793968fc30618a42709?context=cnf
39,sat,ver5,sat,1,1,251.24,250.76,0.36,750944,10,d2af3fde615d7c4d4a4574fc8839970e,https://benchmark-database.de/file/d2af3fde615d7c4d4a4574fc8839970e?context=cnf
40,unsat,ver5,timeout,0,1,1001.47,1000.99,0.32,355676,0,d3e4e0f01836bb359725c6aa5072afce,https://benchmark-database.de/file/d3e4e0f01836bb359725c6aa5072afce?context=cnf
41,unsat,ver5,timeout,0,1,1001.53,1001.02,0.30,417448,0,d88a8a62342be0ef04bd3b429f311352,https://benchmark-database.de/file/d88a8a62342be0ef04bd3b429f311352?context=cnf
42,unsat,ver5,timeout,0,1,1002.14,1001.67,0.37,593480,0,de8988028668791f35a7b9f94353b5b9,https://benchmark-database.de/file/de8988028668791f35a7b9f94353b5b9?context=cnf
